순위,조건,다음날상승확률(%),발생횟수,기준선대비(%p),평균수익(%),검증결과메모
1,"거래량1.5 + 음봉1",60.4,197,9.3,0.91,
2,"10일+20% + RSI과매수70 + 양봉1",59.6,151,8.5,0.99,
3,"3%하락 + 이격-5 + 종가하락2",59.5,158,8.4,0.88,
4,"20아래 + RSI과매도30 + 고변동5",59.5,153,8.4,0.72,
5,"RSI과매도30 + 고변동5",59.5,153,8.4,0.72,
6,"RSI과매도30 + 고변동5 + 이격-5",59.5,153,8.4,0.72,
7,"20위 + 고변동5 + 음봉1",59.5,185,8.4,0.71,
8,"종가하락2 + 종가하락3 + 종가하락4",59.4,165,8.3,0.86,
9,"종가하락2 + 종가하락4",59.4,165,8.3,0.86,
10,"종가하락3 + 종가하락4",59.4,165,8.3,0.86,
11,"종가하락4",59.4,165,8.3,0.86,
12,"10일+20% + 20위 + RSI과매수70",59.2,228,8.1,0.98,
13,"10일+20% + RSI과매수70",59.2,228,8.1,0.98,
14,"10일+20% + RSI과매수70 + 이격+5",59.2,228,8.1,0.98,
15,"3%하락 + 고변동5 + 종가하락2",59.1,176,8.0,0.98,
16,"10일+20% + 20위 + 양봉1",59.1,171,8.0,0.84,
17,"10일+20% + 양봉1 + 이격+5",59.1,171,8.0,0.84,
18,"고변동5 + 이격-5 + 종가하락2",59.1,171,8.0,0.66,
19,"10일+20% + RSI과매수70 + 이격+10",59.0,227,7.9,0.98,
20,"10일+20% + 60위 + RSI과매수70",59.0,222,7.9,0.92,
21,"3%하락 + 60위 + 음봉1",58.8,216,7.7,0.53,
22,"3%하락 + 60위",58.8,228,7.7,0.52,
23,"10일+20% + 양봉1",58.7,172,7.6,0.79,
24,"10일+20% + 20위 + 이격+5",58.7,264,7.6,0.88,
25,"10일+20% + 이격+5",58.7,264,7.6,0.88,
26,"10일+20% + 20위 + 이격+10",58.5,253,7.4,0.86,
27,"10일+20% + 이격+10",58.5,253,7.4,0.86,
28,"10일+20% + 이격+10 + 이격+5",58.5,253,7.4,0.86,
29,"10일+20% + 20위",58.5,265,7.4,0.84,
30,"10일+20% + 양봉1 + 이격+10",58.3,168,7.2,0.76,
31,"60아래 + 고변동5 + 종가하락2",58.2,170,7.1,0.43,
32,"60아래 + 음봉2 + 종가하락3",58.1,179,7.0,0.24,
33,"10일+20%",58.1,267,7.0,0.78,
34,"10일+20% + 60위 + 이격+10",58.0,243,6.9,0.82,
35,"20아래 + 고변동5 + 이격-10",58.0,181,6.9,0.83,
36,"고변동5 + 이격-10",58.0,181,6.9,0.83,
37,"고변동5 + 이격-10 + 이격-5",58.0,181,6.9,0.83,
38,"10일+20% + 60위 + 이격+5",58.0,250,6.9,0.80,
39,"RSI과매수70 + 음봉1 + 이격+10",58.0,150,6.9,0.61,
40,"60아래 + 음봉1 + 종가하락3",57.9,214,6.8,0.51,
41,"60아래 + 고변동5 + 이격-10",57.8,166,6.7,0.80,
42,"20아래 + 60아래 + 종가하락3",57.8,244,6.7,0.55,
43,"고변동5 + 종가하락2",57.8,270,6.7,0.57,
44,"10일+20% + 20위 + 60위",57.8,251,6.7,0.76,
45,"10일+20% + 60위",57.8,251,6.7,0.76,
46,"60아래 + 종가하락2 + 종가하락3",57.7,253,6.6,0.57,
47,"60아래 + 종가하락3",57.7,253,6.6,0.57,
48,"60위 + 고변동5 + 음봉1",57.6,243,6.5,0.40,
49,"3%하락 + 종가하락2",57.6,276,6.5,0.77,
50,"RSI과매수70 + 음봉1 + 이격+5",57.6,238,6.5,0.36,
51,"10일+20% + 60위 + 양봉1",57.5,160,6.4,0.68,
52,"갭하락1 + 종가하락2 + 종가하락3",57.3,150,6.2,0.53,
53,"갭하락1 + 종가하락3",57.3,150,6.2,0.53,
54,"20위 + 3%하락",57.3,157,6.2,0.29,
55,"음봉1 + 종가상승2",57.3,192,6.2,0.82,
56,"3일-10%",57.2,159,6.1,0.94,
57,"고변동5 + 음봉1 + 종가하락2",57.2,236,6.1,0.57,
58,"60위 + RSI과매수70 + 음봉1",57.2,257,6.1,0.41,
59,"20위 + RSI과매수70 + 음봉1",57.2,271,6.1,0.33,
60,"RSI과매수70 + 음봉1",57.2,271,6.1,0.33,
61,"20위 + 음봉1 + 이격+10",57.1,182,6.0,0.71,
62,"음봉1 + 이격+10",57.1,182,6.0,0.71,
63,"음봉1 + 이격+10 + 이격+5",57.1,182,6.0,0.71,
64,"20아래 + 3%하락 + 종가하락2",57.1,226,6.0,0.76,
65,"20아래 + 고변동5 + 종가하락2",57.1,219,6.0,0.46,
66,"5_10상향",56.9,202,5.8,0.64,
67,"60아래 + 음봉3 + 종가하락2",56.8,183,5.7,0.19,
68,"RSI과매수70 + 이격+10 + 종가상승3",56.7,164,5.6,0.88,
69,"3%하락 + 음봉1 + 종가하락2",56.6,256,5.5,0.78,
70,"RSI과매수80 + 양봉1 + 이격+10",56.6,166,5.5,0.57,
71,"20위 + 이격+10 + 종가상승3",56.6,189,5.5,0.80,
72,"이격+10 + 이격+5 + 종가상승3",56.6,189,5.5,0.80,
73,"이격+10 + 종가상승2 + 종가상승3",56.6,189,5.5,0.80,
74,"이격+10 + 종가상승3",56.6,189,5.5,0.80,
75,"20아래 + 종가하락2 + 종가하락3",56.6,318,5.5,0.56,
76,"20아래 + 종가하락3",56.6,318,5.5,0.56,
77,"3%하락 + 5%하락",56.6,212,5.5,0.89,
78,"5%하락",56.6,212,5.5,0.89,
79,"20위 + 종가하락2",56.6,258,5.5,0.40,
80,"갭상승1 + 고변동5 + 음봉1",56.6,175,5.5,0.43,
81,"종가하락2 + 종가하락3",56.5,391,5.4,0.56,
82,"종가하락3",56.5,391,5.4,0.56,
83,"양봉1 + 이격+10 + 종가상승3",56.5,154,5.4,0.74,
84,"20아래 + 거래량1.5",56.5,170,5.4,0.63,
85,"음봉1 + 음봉3 + 종가하락3",56.5,232,5.4,0.25,
86,"음봉2 + 음봉3 + 종가하락3",56.5,232,5.4,0.25,
87,"음봉3 + 종가하락2 + 종가하락3",56.5,232,5.4,0.25,
88,"음봉3 + 종가하락3",56.5,232,5.4,0.25,
89,"20위 + 음봉1 + 종가하락2",56.5,209,5.4,0.35,
90,"20아래 + 음봉3 + 종가하락3",56.4,195,5.3,0.30,
91,"20아래 + 음봉1 + 음봉4",56.3,183,5.2,0.14,
92,"20아래 + 음봉2 + 음봉4",56.3,183,5.2,0.14,
93,"20아래 + 음봉3 + 음봉4",56.3,183,5.2,0.14,
94,"20아래 + 음봉4",56.3,183,5.2,0.14,
95,"60위 + 음봉1 + 이격+10",56.3,176,5.2,0.70,
96,"20위 + RSI과매수70 + 고변동5",56.2,201,5.1,0.41,
97,"RSI과매수70 + 고변동5",56.2,201,5.1,0.41,
98,"60아래 + 이격-5 + 종가하락3",56.1,187,5.1,0.53,
99,"음봉1 + 종가하락2 + 종가하락3",56.1,328,5.0,0.42,
100,"음봉1 + 종가하락3",56.1,328,5.0,0.42,
101,"RSI과매수70 + 고변동5 + 이격+5",56.0,200,4.9,0.40,
102,"20위 + RSI과매수70 + 이격+10",56.0,459,4.9,0.68,
103,"RSI과매수70 + 이격+10",56.0,459,4.9,0.68,
104,"RSI과매수70 + 이격+10 + 이격+5",56.0,459,4.9,0.68,
105,"3%하락 + 5%하락 + 고변동5",56.0,184,4.9,0.97,
106,"5%하락 + 고변동5",56.0,184,4.9,0.97,
107,"20위 + RSI과매수80 + 이격+10",55.9,227,4.8,0.51,
108,"RSI과매수70 + RSI과매수80 + 이격+10",55.9,227,4.8,0.51,
109,"RSI과매수80 + 이격+10",55.9,227,4.8,0.51,
110,"RSI과매수80 + 이격+10 + 이격+5",55.9,227,4.8,0.51,
111,"3%하락 + 고변동5 + 이격-5",55.9,188,4.8,0.82,
112,"20아래 + 음봉2 + 종가하락3",55.8,231,4.7,0.23,
113,"고변동5 + 음봉2 + 이격-5",55.8,156,4.7,0.45,
114,"60위 + RSI과매수70 + 고변동5",55.7,192,4.6,0.40,
115,"5%하락 + 고변동5 + 음봉1",55.7,176,4.6,0.95,
116,"20위 + 60위 + 종가하락2",55.7,212,4.6,0.43,
117,"20아래 + 음봉1 + 종가하락3",55.6,266,4.5,0.42,
118,"RSI과매수70 + 양봉2 + 이격+10",55.6,187,4.5,0.66,
119,"20아래 + 이격-5 + 종가하락3",55.6,214,4.5,0.60,
120,"이격-5 + 종가하락2 + 종가하락3",55.6,214,4.5,0.60,
121,"이격-5 + 종가하락3",55.6,214,4.5,0.60,
122,"음봉1 + 음봉3 + 종가하락2",55.6,295,4.5,0.19,
123,"음봉2 + 음봉3 + 종가하락2",55.6,295,4.5,0.19,
124,"음봉3 + 종가하락2",55.6,295,4.5,0.19,
125,"3%하락 + 60아래 + 종가하락2",55.6,171,4.5,0.61,
126,"20아래 + 3%하락 + 5%하락",55.5,164,4.4,0.95,
127,"20아래 + 5%하락",55.5,164,4.4,0.95,
128,"20아래 + 음봉3 + 종가하락2",55.5,238,4.4,0.24,
129,"20아래 + 갭하락1 + 갭하락2",55.5,211,4.4,0.40,
130,"20아래 + 갭하락2",55.5,211,4.4,0.40,
131,"60위 + 이격+10 + 종가상승3",55.4,175,4.3,0.63,
132,"3%하락 + 갭하락1 + 갭하락2",55.4,166,4.3,0.35,
133,"3%하락 + 갭하락2",55.4,166,4.3,0.35,
134,"3%하락 + 갭하락1 + 종가하락2",55.4,157,4.3,0.31,
135,"음봉1 + 음봉2 + 종가하락3",55.4,278,4.3,0.13,
136,"음봉2 + 종가하락2 + 종가하락3",55.4,278,4.3,0.13,
137,"음봉2 + 종가하락3",55.4,278,4.3,0.13,
138,"갭하락1 + 갭하락2 + 고변동5",55.4,168,4.3,0.50,
139,"갭하락2 + 고변동5",55.4,168,4.3,0.50,
140,"20위 + 이격+10",55.3,553,4.2,0.65,
141,"20위 + 이격+10 + 이격+5",55.3,553,4.2,0.65,
142,"이격+10",55.3,553,4.2,0.65,
143,"이격+10 + 이격+5",55.3,553,4.2,0.65,
144,"60위 + RSI과매수70 + 이격+10",55.3,443,4.2,0.62,
145,"3%상승 + 이격+5 + 종가상승2",55.3,208,4.2,0.58,
146,"3%하락 + 5%하락 + 음봉1",55.3,199,4.2,0.82,
147,"5%하락 + 음봉1",55.3,199,4.2,0.82,
148,"RSI과매수70 + 이격+10 + 종가상승2",55.3,237,4.2,0.78,
149,"양봉1 + 이격+10 + 종가상승2",55.3,228,4.2,0.61,
150,"RSI과매도30 + 음봉1 + 이격-10",55.3,152,4.2,0.03,
151,"60위 + RSI과매수80 + 이격+10",55.2,221,4.1,0.40,
152,"RSI과매수70 + 양봉1 + 이격+10",55.2,308,4.1,0.73,
153,"RSI과매수70 + 갭상승1 + 이격+10",55.2,203,4.1,0.51,
154,"RSI과매수70 + 양봉1 + 종가상승3",55.1,167,4.0,0.68,
155,"20위 + 이격+10 + 종가상승2",55.0,278,3.9,0.68,
156,"이격+10 + 이격+5 + 종가상승2",55.0,278,3.9,0.68,
157,"이격+10 + 종가상승2",55.0,278,3.9,0.68,
158,"20위 + 5일+15% + 이격+5",55.0,160,3.9,0.93,
159,"5일+15% + 이격+5",55.0,160,3.9,0.93,
160,"고변동5 + 음봉2 + 종가하락2",55.0,200,3.9,0.35,
161,"3%하락 + 고변동5",54.9,355,3.8,0.58,
162,"고변동5 + 음봉1",54.9,548,3.8,0.37,
163,"20위 + 양봉2 + 이격+10",54.9,224,3.8,0.53,
164,"양봉1 + 양봉2 + 이격+10",54.9,224,3.8,0.53,
165,"양봉2 + 이격+10",54.9,224,3.8,0.53,
166,"양봉2 + 이격+10 + 이격+5",54.9,224,3.8,0.53,
167,"RSI과매수70 + 고변동5 + 이격+10",54.9,184,3.8,0.38,
168,"3%하락 + 음봉2 + 종가하락2",54.9,215,3.8,0.59,
169,"RSI과매수80 + 이격+5 + 종가상승2",54.9,164,3.8,0.56,
170,"20위 + RSI과매수70 + 종가상승3",54.9,206,3.8,0.68,
171,"RSI과매수70 + 종가상승2 + 종가상승3",54.9,206,3.8,0.68,
172,"RSI과매수70 + 종가상승3",54.9,206,3.8,0.68,
173,"음봉1 + 이격-5 + 종가하락3",54.8,177,3.7,0.43,
174,"20위 + 고변동5 + 이격+5",54.8,334,3.7,0.21,
175,"고변동5 + 이격+5",54.8,334,3.7,0.21,
176,"20위 + 고변동5 + 이격+10",54.8,230,3.7,0.29,
177,"고변동5 + 이격+10",54.8,230,3.7,0.29,
178,"고변동5 + 이격+10 + 이격+5",54.8,230,3.7,0.29,
179,"고변동5 + 음봉1 + 이격-5",54.8,252,3.7,0.47,
180,"60아래 + 음봉1 + 이격-10",54.7,192,3.6,0.20,
181,"3%상승 + RSI과매수70 + 이격+10",54.7,172,3.6,0.67,
182,"20아래 + 고변동5 + 이격-5",54.6,359,3.5,0.59,
183,"고변동5 + 이격-5",54.6,359,3.5,0.59,
184,"20아래 + 음봉1 + 이격-10",54.6,207,3.5,0.19,
185,"음봉1 + 이격-10",54.6,207,3.5,0.19,
186,"음봉1 + 이격-10 + 이격-5",54.6,207,3.5,0.19,
187,"20위 + RSI과매수80 + 종가상승2",54.5,165,3.4,0.55,
188,"RSI과매수70 + RSI과매수80 + 종가상승2",54.5,165,3.4,0.55,
189,"RSI과매수80 + 종가상승2",54.5,165,3.4,0.55,
190,"60아래 + 고변동5 + 음봉2",54.5,165,3.4,0.27,
191,"20위 + 양봉1 + 이격+10",54.5,369,3.4,0.62,
192,"양봉1 + 이격+10",54.5,369,3.4,0.62,
193,"양봉1 + 이격+10 + 이격+5",54.5,369,3.4,0.62,
194,"20위 + 60위 + 고변동5",54.5,393,3.4,0.32,
195,"20위 + 60위 + 이격+10",54.4,529,3.3,0.60,
196,"60위 + 이격+10",54.4,529,3.3,0.60,
197,"60위 + 이격+10 + 이격+5",54.4,529,3.3,0.60,
198,"3%하락 + 고변동5 + 음봉1",54.4,340,3.3,0.60,
199,"3%하락 + 고변동5 + 음봉2",54.4,171,3.3,0.70,
200,"20아래 + RSI과매도30 + 이격-10",54.3,219,3.2,0.24,
201,"RSI과매도30 + 이격-10",54.3,219,3.2,0.24,
202,"RSI과매도30 + 이격-10 + 이격-5",54.3,219,3.2,0.24,
203,"60아래 + RSI과매도30 + 이격-10",54.3,210,3.2,0.28,
204,"60위 + 고변동5",54.3,516,3.2,0.27,
205,"갭상승1 + 음봉1 + 종가상승2",54.2,153,3.1,0.83,
206,"3%상승 + 갭상승1 + 종가상승2",54.2,177,3.1,0.56,
207,"RSI과매수70 + 이격+5 + 종가상승3",54.2,201,3.1,0.69,
208,"음봉1 + 음봉2 + 음봉4",54.2,225,3.1,0.08,
209,"음봉1 + 음봉3 + 음봉4",54.2,225,3.1,0.08,
210,"음봉1 + 음봉4",54.2,225,3.1,0.08,
211,"음봉2 + 음봉3 + 음봉4",54.2,225,3.1,0.08,
212,"음봉2 + 음봉4",54.2,225,3.1,0.08,
213,"음봉3 + 음봉4",54.2,225,3.1,0.08,
214,"음봉4",54.2,225,3.1,0.08,
215,"60위 + 고변동5 + 이격+5",54.2,297,3.1,0.22,
216,"RSI과매수80 + 양봉1 + 이격+5",54.2,203,3.1,0.44,
217,"20위 + 갭상승1 + 이격+10",54.1,242,3.0,0.51,
218,"갭상승1 + 이격+10",54.1,242,3.0,0.51,
219,"갭상승1 + 이격+10 + 이격+5",54.1,242,3.0,0.51,
220,"3%상승 + 종가상승2 + 종가상승3",54.1,159,3.0,0.71,
221,"3%상승 + 종가상승3",54.1,159,3.0,0.71,
222,"20위 + 3%상승 + 이격+10",54.0,211,2.9,0.57,
223,"3%상승 + 이격+10",54.0,211,2.9,0.57,
224,"3%상승 + 이격+10 + 이격+5",54.0,211,2.9,0.57,
225,"20아래 + 3%상승",54.0,174,2.9,0.41,
226,"5_10하향",54.0,200,2.9,0.32,
227,"20위 + 5일+15% + 60위",54.0,150,2.9,0.84,
228,"5일+15% + 60위",54.0,150,2.9,0.84,
229,"20위 + 60위 + 음봉1",53.9,710,2.8,0.33,
230,"20위 + RSI과매수70",53.9,753,2.8,0.47,
231,"RSI과매수70",53.9,753,2.8,0.47,
232,"60위 + 고변동5 + 이격+10",53.9,217,2.8,0.29,
233,"60위 + RSI과매수70 + 종가상승3",53.9,193,2.8,0.52,
234,"20아래 + 갭상승1 + 이격-5",53.9,193,2.8,0.52,
235,"갭상승1 + 이격-5",53.9,193,2.8,0.52,
236,"20위 + 음봉1 + 이격+5",53.8,416,2.7,0.49,
237,"음봉1 + 이격+5",53.8,416,2.7,0.49,
238,"3%하락",53.8,552,2.7,0.44,
239,"20위 + RSI과매수70 + 양봉2",53.8,277,2.7,0.54,
240,"RSI과매수70 + 양봉1 + 양봉2",53.8,277,2.7,0.54,
241,"RSI과매수70 + 양봉2",53.8,277,2.7,0.54,
242,"20위 + RSI과매수70 + 이격+5",53.8,692,2.7,0.47,
243,"RSI과매수70 + 이격+5",53.8,692,2.7,0.47,
244,"60위 + RSI과매수80 + 종가상승2",53.8,160,2.7,0.42,
245,"갭하락1 + 갭하락2",53.8,320,2.7,0.19,
246,"갭하락2",53.8,320,2.7,0.19,
247,"20아래 + 3%하락 + 이격-5",53.7,255,2.6,0.62,
248,"3%하락 + 이격-5",53.7,255,2.6,0.62,
249,"20위 + 음봉1",53.7,873,2.6,0.30,
250,"60아래 + 음봉1 + 음봉3",53.7,272,2.6,0.02,
251,"60아래 + 음봉2 + 음봉3",53.7,272,2.6,0.02,
252,"60아래 + 음봉3",53.7,272,2.6,0.02,
253,"5일+15%",53.7,177,2.6,0.83,
254,"60위 + 이격+10 + 종가상승2",53.7,259,2.6,0.58,
255,"20위 + 갭상승1 + 종가상승3",53.7,164,2.6,0.49,
256,"20위 + RSI과매수80 + 양봉1",53.7,205,2.6,0.43,
257,"RSI과매수70 + RSI과매수80 + 양봉1",53.7,205,2.6,0.43,
258,"RSI과매수80 + 양봉1",53.7,205,2.6,0.43,
259,"20아래 + 이격-10",53.6,302,2.5,0.29,
260,"20아래 + 이격-10 + 이격-5",53.6,302,2.5,0.29,
261,"이격-10",53.6,302,2.5,0.29,
262,"이격-10 + 이격-5",53.6,302,2.5,0.29,
263,"60위 + 종가하락2",53.6,371,2.5,0.24,
264,"60위 + 고변동5 + 종가상승2",53.6,166,2.5,0.22,
265,"20위 + 3%상승 + RSI과매수70",53.6,194,2.5,0.69,
266,"3%상승 + RSI과매수70",53.6,194,2.5,0.69,
267,"3%상승 + RSI과매수70 + 이격+5",53.6,194,2.5,0.69,
268,"20아래 + 5%하락 + 음봉1",53.6,153,2.5,0.84,
269,"종가하락2",53.6,868,2.5,0.20,
270,"20위 + 5일+15%",53.6,168,2.5,0.79,
